depth;parent name;name;brands;brands;brands;brands;brands;brands;brands;brands;brands;brands;brands;brands;brands;
2;تنقلات;پاپ کورن و گندمک;آرسیس لایف-arsis life;آوند-Avand;آی سودا-Aysuda;آیدین -Aidin;آیس برگ-Iceberg;اکشن-Action;الینا-Elina;ایسترم-Istaram;ایکس فست-X-Fast;باراکا-Baraka;بایودنت-Biodent;بدون برند-No Branded;برتر-Bartar;بردلند-bread land;برسام-Barsam;برفود-Brefood;برنوتی-Bernotti;بریتونا-britona;بیسکوچی-Bisco Chee;پارمیدا-Parmida;پچ پچ-Pech Pech;پیکولا-Picola;ترددیلا-Tordilla;تریپرز-triperz;توسکا-Tooska;تیکرز-tickers;جمانه-Jomaneh;چاکلز-Chukles;چمنی-Chamani;چوکوتریپس-chocotrips;چيچک-Chichak;چی پف-Chee Puff;چی توز-Cheetoz;چیچک-Cicek;خشکپاک-Khoshkpak;دراژه-Derazheh;دست آورد-Dastavard;دکتر بن-Dr.Bone;دلاتو-Delato;دن اکسیر-Denexir;سایرو-Sairoo;ستاک-Setak;سلامت-Salamat;سوربن-Sorbon;شاهنگ-Shahang;شهدینه-Shahdineh;شونيز-Shoniz;شیبا-Shiba;شیبابا-Shibaba;شیررضا-Shir Reza;شیرین عسل-Shirin Asal;شیرین وطن-Shirin Vatan;فراکام-Farakam;فرخنده-Farkhondeh;فرمند-Farmand;قافلانکوه-Ghaflankooh;کاردینال-Kardinal;کاله-Kalleh;کوبیزکو-Cobizco;کوپا-Copa;کومتا-Cometa;کیتابار-Kira Bar;کیتاریچ-Kitarich;کیکس-Kix;کینوفیت-quinofit;گالاردو-Gallardo;گرجی-Gorji;‌‌گلستان‌-Golestan;گلین-Galin;لت آس-Letus;لینا-Lina;مادر-Madar;مادلین-Madelin;مانی-Mani;مروسا-Merosa;مزمز-Maz Maz;ناتسور-Notsore;ناتلز-Nutles;نادری-Naderi;نان آوران-Nanavaran;نان رضوی-Nanerazavi;نظری-Nazari;نیلی تو-nilito;هانیپرز-hanipers;هایپراستار-Hyperstar;ويتانا-Vitana;وی نات-V.nut;وی نیتو-v.nito;ویتانا-vitana;وینکرز-winkers;ویولتا-Violleta;یامی-Yummy;
3;پاپ کورن و گندمک;پاپ کورن
2;تنقلات;پاستیل و آدامس;آرسیس لایف-arsis life;آوند-Avand;آی سودا-Aysuda;آیدین -Aidin;آیس برگ-Iceberg;اکشن-Action;الینا-Elina;ایسترم-Istaram;ایکس فست-X-Fast;باراکا-Baraka;بایودنت-Biodent;بدون برند-No Branded;برتر-Bartar;بردلند-bread land;برسام-Barsam;برفود-Brefood;برنوتی-Bernotti;بریتونا-britona;بیسکوچی-Bisco Chee;پارمیدا-Parmida;پچ پچ-Pech Pech;پیکولا-Picola;ترددیلا-Tordilla;تریپرز-triperz;توسکا-Tooska;تیکرز-tickers;جمانه-Jomaneh;چاکلز-Chukles;چمنی-Chamani;چوکوتریپس-chocotrips;چيچک-Chichak;چی پف-Chee Puff;چی توز-Cheetoz;چیچک-Cicek;خشکپاک-Khoshkpak;دراژه-Derazheh;دست آورد-Dastavard;دکتر بن-Dr.Bone;دلاتو-Delato;دن اکسیر-Denexir;سایرو-Sairoo;ستاک-Setak;سلامت-Salamat;سوربن-Sorbon;شاهنگ-Shahang;شهدینه-Shahdineh;شونيز-Shoniz;شیبا-Shiba;شیبابا-Shibaba;شیررضا-Shir Reza;شیرین عسل-Shirin Asal;شیرین وطن-Shirin Vatan;فراکام-Farakam;فرخنده-Farkhondeh;فرمند-Farmand;قافلانکوه-Ghaflankooh;کاردینال-Kardinal;کاله-Kalleh;کوبیزکو-Cobizco;کوپا-Copa;کومتا-Cometa;کیتابار-Kira Bar;کیتاریچ-Kitarich;کیکس-Kix;کینوفیت-quinofit;گالاردو-Gallardo;گرجی-Gorji;‌‌گلستان‌-Golestan;گلین-Galin;لت آس-Letus;لینا-Lina;مادر-Madar;مادلین-Madelin;مانی-Mani;مروسا-Merosa;مزمز-Maz Maz;ناتسور-Notsore;ناتلز-Nutles;نادری-Naderi;نان آوران-Nanavaran;نان رضوی-Nanerazavi;نظری-Nazari;نیلی تو-nilito;هانیپرز-hanipers;هایپراستار-Hyperstar;ويتانا-Vitana;وی نات-V.nut;وی نیتو-v.nito;ویتانا-vitana;وینکرز-winkers;ویولتا-Violleta;یامی-Yummy;
3;پاستیل و آدامس;پاستیل
3;پاستیل و آدامس;آدامس
3;پاستیل و آدامس;مارشمالو
3;پاستیل و آدامس;خوشبوکننده دهان
2;تنقلات;بیسکویت و ویفر;آرسیس لایف-arsis life;آوند-Avand;آی سودا-Aysuda;آیدین -Aidin;آیس برگ-Iceberg;اکشن-Action;الینا-Elina;ایسترم-Istaram;ایکس فست-X-Fast;باراکا-Baraka;بایودنت-Biodent;بدون برند-No Branded;برتر-Bartar;بردلند-bread land;برسام-Barsam;برفود-Brefood;برنوتی-Bernotti;بریتونا-britona;بیسکوچی-Bisco Chee;پارمیدا-Parmida;پچ پچ-Pech Pech;پیکولا-Picola;ترددیلا-Tordilla;تریپرز-triperz;توسکا-Tooska;تیکرز-tickers;جمانه-Jomaneh;چاکلز-Chukles;چمنی-Chamani;چوکوتریپس-chocotrips;چيچک-Chichak;چی پف-Chee Puff;چی توز-Cheetoz;چیچک-Cicek;خشکپاک-Khoshkpak;دراژه-Derazheh;دست آورد-Dastavard;دکتر بن-Dr.Bone;دلاتو-Delato;دن اکسیر-Denexir;سایرو-Sairoo;ستاک-Setak;سلامت-Salamat;سوربن-Sorbon;شاهنگ-Shahang;شهدینه-Shahdineh;شونيز-Shoniz;شیبا-Shiba;شیبابا-Shibaba;شیررضا-Shir Reza;شیرین عسل-Shirin Asal;شیرین وطن-Shirin Vatan;فراکام-Farakam;فرخنده-Farkhondeh;فرمند-Farmand;قافلانکوه-Ghaflankooh;کاردینال-Kardinal;کاله-Kalleh;کوبیزکو-Cobizco;کوپا-Copa;کومتا-Cometa;کیتابار-Kira Bar;کیتاریچ-Kitarich;کیکس-Kix;کینوفیت-quinofit;گالاردو-Gallardo;گرجی-Gorji;‌‌گلستان‌-Golestan;گلین-Galin;لت آس-Letus;لینا-Lina;مادر-Madar;مادلین-Madelin;مانی-Mani;مروسا-Merosa;مزمز-Maz Maz;ناتسور-Notsore;ناتلز-Nutles;نادری-Naderi;نان آوران-Nanavaran;نان رضوی-Nanerazavi;نظری-Nazari;نیلی تو-nilito;هانیپرز-hanipers;هایپراستار-Hyperstar;ويتانا-Vitana;وی نات-V.nut;وی نیتو-v.nito;ویتانا-vitana;وینکرز-winkers;ویولتا-Violleta;یامی-Yummy;
3;بیسکویت و ویفر;بیسکویت
3;بیسکویت و ویفر;ویفر
